user,questions,response
27,1,0.35690846725785474
99,0,0.6407423693516103
38,0,0.14274517712607876
84,0,0.5517217724216358
11,1,0.8456413559100219
38,2,0.058282816953659035
94,1,0.5203236253214962
36,2,0.7319824988190606
41,0,0.6504769298927824
98,0,0.8473021951945294
35,0,0.48340194182069807
50,0,0.6833842191499873
3,1,0.43240478181317077
80,0,0.6415623814161703
62,0,0.6526337406090906
87,1,0.5704658139704218
35,0,0.48340194182069807
21,2,0.5706170242934767
64,2,0.5614634746426936
36,2,0.7319824988190606
13,2,0.45238364966188255
41,0,0.6504769298927824
44,0,0.9445178622716313
94,1,0.5203236253214962
54,0,0.15707598410649598
91,2,0.8463532247616298
67,0,0.18650581729192656
58,2,0.7064327644158939
63,1,0.5661401033918827
32,2,0.32174672185799214
24,1,0.6518137531937298
11,1,0.8456413559100219
26,2,0.27845239975304475
59,2,0.20266322640237655
35,0,0.48340194182069807
54,1,0.10186532188943644
73,0,0.26312724415495475
45,2,0.2892145252966308
79,2,0.6057989222307009
30,0,0.10059845479626506
20,1,0.609486912689118
68,1,0.9158557522292187
32,0,0.5628924036867822
96,2,0.5425764705217103
28,0,0.6564493575249644
72,0,0.49508017939087445
92,0,0.5566390483599285
56,1,0.3974175372052681
88,0,0.6993195839100276
77,0,0.5672462763915843
82,2,0.03851228809183732
96,1,0.6615898561673129
4,2,0.32096569215395193
34,2,0.24261888446534577
89,0,0.5727921808519393
35,0,0.48340194182069807
20,1,0.609486912689118
80,1,0.520616933163238
53,2,0.5556529651006645
64,1,0.6784801500898878
56,2,0.28592612625965924
19,2,0.0554441542460975
1,0,0.4730554778183242
77,1,0.44302850353332385
60,2,0.3592951682389454
82,0,0.09678857674597753
14,2,0.686173198573999
70,2,0.48834241079767027
24,1,0.6518137531937298
35,0,0.48340194182069807
94,0,0.6412919889692101
32,0,0.5628924036867822
93,0,0.8496728126230906
44,2,0.8623224009148774
77,2,0.3256197337717979
22,0,0.45227496612991597
30,2,0.040104647758890666
97,2,0.10632712078942874
31,0,0.8277518803488771
2,0,0.60375722238525
17,2,0.14549552853617298
71,2,0.46144642466103225
29,1,0.16852743167943968
78,0,0.6426045629847509
69,1,0.5703226338719601
12,1,0.36414338569435417
32,0,0.5628924036867822
35,0,0.48340194182069807
2,2,0.35945583856425223
15,2,0.3097348789476051
94,2,0.3969805368500832
53,0,0.7725966739504257
84,1,0.4275527986590165
7,2,0.39076357834638387
26,0,0.511549893185042
82,0,0.09678857674597753
41,2,0.40662385238779275
16,1,0.4768353224990577
6,1,0.19168361290226563
77,0,0.5672462763915843
71,2,0.46144642466103225
63,1,0.5661401033918827
2,2,0.35945583856425223
22,1,0.3338780482029834
41,2,0.40662385238779275
15,1,0.42501067453103436
72,0,0.49508017939087445
3,2,0.3162208022666571
78,1,0.5217482202891773
11,2,0.7686910932095783
41,1,0.5303339846945555
67,1,0.12238373682908371
59,2,0.20266322640237655
31,0,0.8277518803488771
65,1,0.26960412980473664
88,2,0.46127748064260976
96,0,0.7631785843403966
3,1,0.43240478181317077
80,0,0.6415623814161703
64,0,0.7767123590708882
79,2,0.6057989222307009
70,1,0.6113400224510301
48,2,0.41639445696639443
4,2,0.32096569215395193
29,0,0.2501064031696851
4,0,0.5620098704060695
34,0,0.4649694956801561
76,0,0.6788671944780257
69,0,0.6862985137428651
95,1,0.7345776882908748
62,2,0.4089159515176921
92,2,0.3162415939970326
17,2,0.14549552853617298
1,0,0.4730554778183242
21,2,0.5706170242934767
54,1,0.10186532188943644
64,1,0.6784801500898878
5,2,0.6792501936661774
24,0,0.7552498859234144
3,0,0.5566152851715093
23,1,0.33944857197360934
30,1,0.0638760277785304
28,0,0.6564493575249644
75,2,0.2803884441912872
72,1,0.37308191952935565
28,0,0.6564493575249644
62,0,0.6526337406090906
57,1,0.674225941016523
35,2,0.25643514472282014
47,1,0.3280880489717011
47,1,0.3280880489717011
16,0,0.6003305730093388
11,2,0.7686910932095783
22,0,0.45227496612991597
84,0,0.5517217724216358
60,0,0.6035900636910104
16,2,0.3561731395263805
96,2,0.5425764705217103
42,1,0.17199877734346963
96,0,0.7631785843403966
52,1,0.41446169320504955
19,2,0.0554441542460975
15,1,0.42501067453103436
65,1,0.26960412980473664
77,0,0.5672462763915843
9,0,0.7318977610210748
48,0,0.6596018580511784
58,1,0.7986627891086769
95,0,0.8202188991583854
23,0,0.4584661131892121
77,1,0.44302850353332385
40,2,0.699904488817637
74,1,0.42371095895881844
41,0,0.6504769298927824
67,0,0.18650581729192656
35,2,0.25643514472282014
63,2,0.44191775264565447
96,0,0.7631785843403966
2,1,0.4804028335612606
55,2,0.45519548139734056
59,0,0.40800371869280266
46,1,0.6795508322149197
89,0,0.5727921808519393
41,0,0.6504769298927824
14,1,0.7828085054788169
25,0,0.47536440827995075
76,1,0.5619002919174987
37,0,0.6515339134532676
38,0,0.14274517712607876
85,2,0.7264125244021575
66,1,0.9039010641928759
49,0,0.8392156348647718
95,0,0.8202188991583854
84,2,0.3119596438991468
39,1,0.7298450257756138
91,0,0.9373894841609941
24,1,0.6518137531937298
2,1,0.4804028335612606
4,0,0.5620098704060695
22,0,0.45227496612991597
8,1,0.0821412522757918
54,2,0.06470888181855815
68,1,0.9158557522292187
98,1,0.7709553678030884
78,0,0.6426045629847509
31,1,0.7445802894635408
40,0,0.8637240840576134
25,1,0.35482295869755925
90,2,0.6260654281224535
89,0,0.5727921808519393
17,0,0.3155929692458038
62,2,0.4089159515176921
38,2,0.058282816953659035
20,0,0.7200890975474928
39,0,0.8166315720576715
50,1,0.567011659992975
58,2,0.7064327644158939
57,2,0.5566741293837084
